Data,Abertura,Máxima,Mínima,Fechamento
2021-07-12,127140,127150,127080,127085
2021-07-12,127165,127185,127125,127145
2021-07-12,127185,127195,127130,127165
2021-07-12,127125,127200,127060,127185
2021-07-12,127115,127160,127090,127125
2021-07-12,127025,127120,126990,127110
2021-07-12,127025,127035,126990,127020
2021-07-12,127080,127125,127015,127025
2021-07-12,127055,127110,127045,127080
2021-07-12,127020,127075,127020,127060
2021-07-12,126965,127060,126960,127025
2021-07-12,126905,126975,126880,126965
2021-07-12,126950,126955,126825,126900
2021-07-12,126915,126985,126910,126950
2021-07-12,126930,126970,126910,126920
2021-07-12,126955,126980,126920,126925
2021-07-12,126970,126975,126905,126960
2021-07-12,126965,126980,126945,126970
2021-07-12,126990,127020,126960,126965
2021-07-12,126960,127015,126945,126990
2021-07-12,126980,126995,126940,126960
2021-07-12,126990,127000,126965,126980
2021-07-12,126965,127005,126960,126995
2021-07-12,126940,126970,126925,126965
2021-07-12,126955,127035,126930,126940
2021-07-12,126890,126975,126890,126960
2021-07-12,126930,126930,126890,126890
2021-07-12,126950,126960,126905,126930
2021-07-12,126915,126960,126880,126950
2021-07-12,126990,127010,126915,126920
2021-07-12,126970,127025,126915,126985
2021-07-12,126970,127000,126945,126970
2021-07-12,126995,126995,126945,126965
2021-07-12,127065,127070,126985,126990
2021-07-12,127020,127085,126995,127065
2021-07-12,127075,127095,126980,127015
2021-07-12,127085,127185,127055,127070
2021-07-12,127040,127105,127025,127085
2021-07-12,127035,127105,127000,127040
2021-07-12,126915,127045,126895,127035
2021-07-12,126900,126940,126875,126915
2021-07-12,126885,126910,126860,126905
2021-07-12,126860,126910,126845,126880
2021-07-12,126775,126870,126740,126865
2021-07-12,126770,126825,126740,126770
2021-07-12,126770,126795,126730,126770
2021-07-12,126860,126895,126755,126765
2021-07-12,126845,126910,126795,126865
2021-07-12,126875,126895,126835,126845
2021-07-12,126945,126975,126865,126875
2021-07-12,126985,126985,126920,126940
2021-07-12,126990,127015,126965,126985
2021-07-12,126990,127035,126975,126990
2021-07-12,127000,127040,126980,126985
2021-07-12,126975,127040,126975,127005
2021-07-12,127030,127050,126970,126975
2021-07-12,127030,127065,126990,127030
2021-07-12,127020,127085,127015,127030
2021-07-12,126970,127030,126950,127015
2021-07-12,127050,127070,126960,126970
2021-07-12,127045,127090,127020,127050
2021-07-12,127030,127055,126990,127045
2021-07-12,127100,127110,127020,127030
2021-07-12,127055,127115,127050,127105
2021-07-12,126980,127065,126975,127050
2021-07-12,126935,126985,126900,126985
2021-07-12,126900,126960,126875,126940
2021-07-12,126850,126910,126790,126900
2021-07-12,126795,126870,126760,126845
2021-07-12,126770,126855,126770,126795
2021-07-12,126715,126805,126705,126770
2021-07-12,126750,126765,126670,126715
2021-07-12,126805,126840,126745,126750
2021-07-12,126820,126840,126720,126805
2021-07-12,126760,126835,126740,126815
2021-07-12,126830,126860,126750,126760
2021-07-12,126900,126925,126805,126825
2021-07-12,126745,126925,126735,126905
2021-07-12,126770,126825,126675,126745
2021-07-12,126845,126895,126730,126765
2021-07-12,126835,126865,126800,126845
2021-07-12,126840,126880,126815,126835
2021-07-12,126785,126855,126785,126835
2021-07-12,126835,126860,126760,126790
2021-07-12,126770,126885,126765,126840
2021-07-12,126735,126815,126730,126770
2021-07-12,126660,126745,126640,126730
2021-07-12,126720,126750,126610,126660
2021-07-12,126745,126780,126700,126715
2021-07-12,126680,126745,126670,126740
2021-07-12,126675,126695,126630,126675
2021-07-12,126715,126740,126660,126675
2021-07-12,126650,126720,126650,126715
2021-07-12,126615,126670,126590,126655
2021-07-12,126680,126725,126605,126615
2021-07-12,126655,126680,126640,126680
2021-07-12,126650,126690,126625,126655
2021-07-12,126715,126740,126620,126645
2021-07-12,126735,126745,126705,126715
2021-07-12,126690,126735,126680,126730
2021-07-12,126715,126725,126670,126690
2021-07-12,126760,126780,126660,126720
2021-07-12,126785,126810,126750,126760
2021-07-12,126745,126805,126730,126785
