Time (CAT);Open;High;Low;Close;Volume 
04/03/2014 00:00:00;1.6666;1.67163;1.6641;1.6664;77487.75
05/03/2014 00:00:00;1.66641;1.67416;1.66564;1.67201;77887.79
06/03/2014 00:00:00;1.67198;1.67774;1.66853;1.67392;88764.76
07/03/2014 00:00:00;1.6739;1.67857;1.67066;1.67135;78135.63
09/03/2014 23:00:00;1.67268;1.67413;1.6622;1.66439;67058.33
10/03/2014 23:00:00;1.66438;1.6653;1.65962;1.66162;68740.9
11/03/2014 23:00:00;1.66161;1.66356;1.65685;1.66176;77402.92
12/03/2014 23:00:00;1.66176;1.67175;1.66066;1.66238;92132.34
13/03/2014 23:00:00;1.66234;1.66502;1.65872;1.66502;83450.33
16/03/2014 23:00:00;1.66382;1.66657;1.66046;1.6636;58185.69
17/03/2014 23:00:00;1.66357;1.66476;1.65457;1.65922;79463.49
18/03/2014 23:00:00;1.65919;1.66542;1.65079;1.65385;95281.77
19/03/2014 23:00:00;1.65384;1.65681;1.648;1.65024;81431.85
20/03/2014 23:00:00;1.65029;1.65201;1.64754;1.6484;62703.24
23/03/2014 23:00:00;1.64567;1.65359;1.64567;1.64971;68661.38
24/03/2014 23:00:00;1.64971;1.65493;1.64811;1.65292;83357.05
25/03/2014 23:00:00;1.65292;1.65968;1.65093;1.6581;84513.28
26/03/2014 23:00:00;1.65811;1.66467;1.65551;1.66104;97940.84
27/03/2014 23:00:00;1.66102;1.66511;1.65972;1.66372;80791.2
30/03/2014 23:00:00;1.66538;1.66837;1.66114;1.66615;81332.48
31/03/2014 23:00:00;1.66615;1.66744;1.66183;1.66291;65063.28
01/04/2014 23:00:00;1.66287;1.66638;1.66204;1.66254;59315.35
02/04/2014 23:00:00;1.66253;1.66605;1.65701;1.65973;80630.35
03/04/2014 23:00:00;1.65972;1.66055;1.65539;1.65671;64832.86
06/04/2014 23:00:00;1.65675;1.66237;1.65653;1.66064;54023.35
07/04/2014 23:00:00;1.66064;1.67541;1.6604;1.67471;80241.72
08/04/2014 23:00:00;1.67471;1.68001;1.67241;1.67927;69865.42
09/04/2014 23:00:00;1.67928;1.682;1.67543;1.67838;75703.69
10/04/2014 23:00:00;1.67837;1.6787;1.67171;1.67295;74985.48
13/04/2014 23:00:00;1.67181;1.67436;1.66964;1.67282;67328.86
14/04/2014 23:00:00;1.67288;1.67488;1.66583;1.67286;74742.41
15/04/2014 23:00:00;1.67279;1.68177;1.67198;1.67959;77149.48
16/04/2014 23:00:00;1.67964;1.68418;1.67868;1.67932;69167.94
